contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received
CONT_AWD_SPE4A725F6136_9700_SPRPA121GCF01_9700,SPE4A725F6136,515670.0,515670.0,2025-05-20,2025,Department of Defense,Defense Logistics Agency,JHFZTG8ZC9V2,BELL BOEING JOINT PROJECT OFFICE,BELL BOEING JOINT PROJECT OFFICE,POTTER,TX,TEXAS,DELIVERY ORDER,"8511389418!GROUND CONNECTION,C",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F6277_9700_SPE4AX17D9402_9700,SPE4A725F6277,372179.56,372179.56,2025-06-20,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511404415!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F6281_9700_SPE4AX17D9402_9700,SPE4A725F6281,251271.02,251271.02,2025-05-29,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511404653!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F6293_9700_SPE4AX17D9402_9700,SPE4A725F6293,330930.44,330930.44,2025-05-29,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511406604!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F6295_9700_SPE4AX17D9402_9700,SPE4A725F6295,630924.04,630924.04,2025-06-20,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511406821!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F6339_9700_SPE4AX17D9402_9700,SPE4A725F6339,490302.04,490302.04,2025-06-20,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511413909!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F6469_9700_SPRPA121G001W_9700,SPE4A725F6469,695614.5,695614.5,2025-07-23,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,"8511432560!LINK ASSEMBLY,SWASH",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,3.0
CONT_AWD_SPE4A725F6501_9700_SPRPA121G001W_9700,SPE4A725F6501,276895.85,276895.85,2025-07-23,2025,Department of Defense,Defense Logistics Agency,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DELIVERY ORDER,8511433757!RING GEAR ASSEMBLY,336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F6504_9700_SPE4A725D0090_9700,SPE4A725F6504,1957108.34,1957108.34,2025-06-11,2025,Department of Defense,Defense Logistics Agency,G1EVUT8EBLV1,"TRANSAERO, INC.","TRANSAERO, INC.",SUFFOLK,NY,NEW YORK,DELIVERY ORDER,"8511434496!BARREL-ROTARY,CONTR",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_SPE4A725F6535_9700_SPE4A725D0199_9700,SPE4A725F6535,692925.6,692925.6,2025-06-12,2025,Department of Defense,Defense Logistics Agency,WUWPR2NTEJ37,"AEROSPACE & COMMERCIAL TECHNOLOGIES, LLC","AEROSPACE & COMMERCIAL TECHNOLOGIES, LLC",TARRANT,TX,TEXAS,DELIVERY ORDER,"8511436827!DUCT ASSEMBLY,AIR C",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,,3.0
CONT_AWD_SPE4A725F6536_9700_SPE4A725D0198_9700,SPE4A725F6536,506520.0,506520.0,2025-06-12,2025,Department of Defense,Defense Logistics Agency,CHNMDT8TAEF5,"AEROMETALS, INC.","AEROMETALS, INC.",EL DORADO,CA,CALIFORNIA,DELIVERY ORDER,"8511438571!DUCT ASSEMBLY,AIR C",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,,3.0
